Training loss	Validation loss	
 7.2294e-02	 6.5551e-02	
 4.5752e-02	 2.4125e-02	
 2.2125e-02	 1.7217e-02	
 1.9517e-02	 1.6522e-02	
 1.8915e-02	 1.6012e-02	
 1.8409e-02	 1.5565e-02	
 1.7948e-02	 1.5144e-02	
 1.7504e-02	 1.4733e-02	
 1.7074e-02	 1.4335e-02	
 1.6659e-02	 1.3951e-02	
 1.6262e-02	 1.3585e-02	
 1.5892e-02	 1.3245e-02	
 1.5566e-02	 1.2941e-02	
 1.5346e-02	 1.2686e-02	
 1.5294e-02	 1.2483e-02	
 1.5160e-02	 1.2315e-02	
 1.4943e-02	 1.2165e-02	
 1.4751e-02	 1.2031e-02	
 1.4545e-02	 1.1906e-02	
 1.4364e-02	 1.1787e-02	
 1.4203e-02	 1.1670e-02	
 1.4025e-02	 1.1551e-02	
 1.3836e-02	 1.1422e-02	
 1.3608e-02	 1.1277e-02	
 1.3329e-02	 1.1104e-02	
 1.2970e-02	 1.0889e-02	
 1.2496e-02	 1.0618e-02	
 1.1880e-02	 1.0290e-02	
 1.1139e-02	 9.9225e-03	
 1.0386e-02	 9.5689e-03	
 9.7834e-03	 9.2996e-03	
 9.4118e-03	 9.1274e-03	
 9.2034e-03	 9.0156e-03	
 9.0743e-03	 8.9316e-03	
 8.9817e-03	 8.8607e-03	
 8.9078e-03	 8.7974e-03	
 8.8455e-03	 8.7395e-03	
 8.7885e-03	 8.6856e-03	
 8.7361e-03	 8.6348e-03	
 8.6854e-03	 8.5866e-03	
 8.6357e-03	 8.5407e-03	
 8.5889e-03	 8.4968e-03	
 8.5429e-03	 8.4547e-03	
 8.4996e-03	 8.4141e-03	
 8.4558e-03	 8.3751e-03	
 8.4124e-03	 8.3375e-03	
 8.3716e-03	 8.3011e-03	
 8.3309e-03	 8.2660e-03	
 8.2927e-03	 8.2319e-03	
 8.2554e-03	 8.1989e-03	
 8.2167e-03	 8.1668e-03	
 8.1811e-03	 8.1355e-03	
 8.1463e-03	 8.1051e-03	
 8.1106e-03	 8.0754e-03	
 8.0781e-03	 8.0464e-03	
 8.0466e-03	 8.0181e-03	
 8.0131e-03	 7.9903e-03	
 7.9834e-03	 7.9632e-03	
 7.9513e-03	 7.9366e-03	
 7.9231e-03	 7.9105e-03	
 7.8933e-03	 7.8850e-03	
 7.8646e-03	 7.8599e-03	
 7.8363e-03	 7.8353e-03	
 7.8081e-03	 7.8111e-03	
 7.7813e-03	 7.7873e-03	
 7.7541e-03	 7.7640e-03	
 7.7274e-03	 7.7410e-03	
 7.7011e-03	 7.7184e-03	
 7.6753e-03	 7.6961e-03	
 7.6510e-03	 7.6743e-03	
 7.6242e-03	 7.6527e-03	
