Training loss	Validation loss	
 7.3545e-02	 2.0174e-02	
 2.2210e-02	 1.7717e-02	
 2.0253e-02	 1.7032e-02	
 1.9527e-02	 1.6583e-02	
 1.9006e-02	 1.6124e-02	
 1.8513e-02	 1.5655e-02	
 1.8028e-02	 1.5186e-02	
 1.7550e-02	 1.4722e-02	
 1.7083e-02	 1.4270e-02	
 1.6639e-02	 1.3842e-02	
 1.6234e-02	 1.3453e-02	
 1.5892e-02	 1.3118e-02	
 1.5638e-02	 1.2845e-02	
 1.5477e-02	 1.2634e-02	
 1.5380e-02	 1.2470e-02	
 1.5279e-02	 1.2336e-02	
 1.5142e-02	 1.2218e-02	
 1.4989e-02	 1.2111e-02	
 1.4834e-02	 1.2008e-02	
 1.4680e-02	 1.1909e-02	
 1.4523e-02	 1.1810e-02	
 1.4360e-02	 1.1707e-02	
 1.4186e-02	 1.1596e-02	
 1.3991e-02	 1.1470e-02	
 1.3757e-02	 1.1318e-02	
 1.3454e-02	 1.1123e-02	
 1.3031e-02	 1.0860e-02	
 1.2423e-02	 1.0506e-02	
 1.1599e-02	 1.0062e-02	
 1.0682e-02	 9.6149e-03	
 9.9494e-03	 9.3006e-03	
 9.5195e-03	 9.1199e-03	
 9.2920e-03	 9.0105e-03	
 9.1535e-03	 8.9301e-03	
 9.0514e-03	 8.8623e-03	
 8.9663e-03	 8.8010e-03	
 8.8899e-03	 8.7437e-03	
 8.8187e-03	 8.6890e-03	
 8.7514e-03	 8.6364e-03	
 8.6871e-03	 8.5854e-03	
 8.6251e-03	 8.5359e-03	
 8.5653e-03	 8.4877e-03	
 8.5073e-03	 8.4407e-03	
 8.4513e-03	 8.3949e-03	
 8.3968e-03	 8.3502e-03	
 8.3439e-03	 8.3066e-03	
 8.2923e-03	 8.2639e-03	
 8.2421e-03	 8.2220e-03	
 8.1932e-03	 8.1810e-03	
 8.1455e-03	 8.1409e-03	
 8.0990e-03	 8.1016e-03	
 8.0535e-03	 8.0631e-03	
 8.0091e-03	 8.0254e-03	
 7.9658e-03	 7.9885e-03	
 7.9234e-03	 7.9524e-03	
 7.8819e-03	 7.9170e-03	
 7.8414e-03	 7.8822e-03	
 7.8017e-03	 7.8482e-03	
 7.7629e-03	 7.8147e-03	
 7.7248e-03	 7.7820e-03	
 7.6874e-03	 7.7498e-03	
 7.6508e-03	 7.7182e-03	
 7.6148e-03	 7.6872e-03	
 7.5796e-03	 7.6568e-03	
 7.5451e-03	 7.6269e-03	
 7.5111e-03	 7.5976e-03	
 7.4778e-03	 7.5688e-03	
 7.4451e-03	 7.5405e-03	
 7.4130e-03	 7.5127e-03	
 7.3814e-03	 7.4853e-03	
 7.3504e-03	 7.4584e-03	
 7.3199e-03	 7.4319e-03	
 7.2899e-03	 7.4059e-03	
 7.2604e-03	 7.3803e-03	
 7.2314e-03	 7.3551e-03	
 7.2029e-03	 7.3303e-03	
 7.1749e-03	 7.3059e-03	
 7.1473e-03	 7.2819e-03	
 7.1202e-03	 7.2582e-03	
 7.0935e-03	 7.2350e-03	
 7.0672e-03	 7.2121e-03	
 7.0413e-03	 7.1895e-03	
 7.0159e-03	 7.1673e-03	
 6.9909e-03	 7.1455e-03	
 6.9662e-03	 7.1240e-03	
 6.9420e-03	 7.1028e-03	
 6.9181e-03	 7.0819e-03	
 6.8947e-03	 7.0614e-03	
 6.8716e-03	 7.0411e-03	
 6.8488e-03	 7.0212e-03	
 6.8265e-03	 7.0016e-03	
 6.8044e-03	 6.9823e-03	
 6.7828e-03	 6.9633e-03	
 6.7615e-03	 6.9446e-03	
 6.7405e-03	 6.9262e-03	
 6.7199e-03	 6.9081e-03	
 6.6995e-03	 6.8903e-03	
 6.6796e-03	 6.8728e-03	
 6.6599e-03	 6.8555e-03	
 6.6405e-03	 6.8385e-03	
 6.6215e-03	 6.8217e-03	
 6.6027e-03	 6.8052e-03	
 6.5842e-03	 6.7889e-03	
 6.5661e-03	 6.7729e-03	
 6.5482e-03	 6.7573e-03	
 6.5307e-03	 6.7419e-03	
 6.5135e-03	 6.7268e-03	
 6.4967e-03	 6.7120e-03	
 6.4801e-03	 6.6974e-03	
 6.4639e-03	 6.6832e-03	
 6.4480e-03	 6.6692e-03	
 6.4323e-03	 6.6554e-03	
 6.4170e-03	 6.6420e-03	
 6.4020e-03	 6.6288e-03	
 6.3873e-03	 6.6159e-03	
 6.3728e-03	 6.6032e-03	
 6.3586e-03	 6.5908e-03	
 6.3447e-03	 6.5786e-03	
 6.3311e-03	 6.5666e-03	
 6.3177e-03	 6.5549e-03	
 6.3046e-03	 6.5434e-03	
 6.2918e-03	 6.5321e-03	
 6.2792e-03	 6.5211e-03	
 6.2668e-03	 6.5102e-03	
 6.2547e-03	 6.4996e-03	
 6.2428e-03	 6.4891e-03	
 6.2311e-03	 6.4789e-03	
 6.2196e-03	 6.4688e-03	
 6.2084e-03	 6.4589e-03	
 6.1973e-03	 6.4492e-03	
 6.1865e-03	 6.4396e-03	
 6.1758e-03	 6.4302e-03	
 6.1653e-03	 6.4209e-03	
 6.1550e-03	 6.4119e-03	
 6.1448e-03	 6.4029e-03	
 6.1348e-03	 6.3941e-03	
 6.1250e-03	 6.3854e-03	
 6.1153e-03	 6.3769e-03	
 6.1058e-03	 6.3685e-03	
 6.0964e-03	 6.3601e-03	
 6.0871e-03	 6.3519e-03	
 6.0780e-03	 6.3438e-03	
 6.0689e-03	 6.3358e-03	
 6.0600e-03	 6.3279e-03	
 6.0512e-03	 6.3201e-03	
 6.0425e-03	 6.3124e-03	
 6.0339e-03	 6.3047e-03	
 6.0254e-03	 6.2971e-03	
 6.0170e-03	 6.2896e-03	
 6.0087e-03	 6.2822e-03	
 6.0004e-03	 6.2748e-03	
 5.9922e-03	 6.2675e-03	
 5.9841e-03	 6.2602e-03	
 5.9760e-03	 6.2529e-03	
 5.9680e-03	 6.2457e-03	
 5.9600e-03	 6.2386e-03	
 5.9521e-03	 6.2314e-03	
 5.9442e-03	 6.2243e-03	
 5.9364e-03	 6.2172e-03	
 5.9286e-03	 6.2101e-03	
 5.9208e-03	 6.2030e-03	
 5.9130e-03	 6.1959e-03	
 5.9052e-03	 6.1889e-03	
 5.8975e-03	 6.1818e-03	
 5.8897e-03	 6.1746e-03	
 5.8819e-03	 6.1675e-03	
 5.8741e-03	 6.1603e-03	
 5.8663e-03	 6.1531e-03	
 5.8585e-03	 6.1459e-03	
 5.8506e-03	 6.1386e-03	
 5.8427e-03	 6.1312e-03	
 5.8348e-03	 6.1238e-03	
 5.8268e-03	 6.1163e-03	
 5.8187e-03	 6.1087e-03	
 5.8105e-03	 6.1010e-03	
 5.8023e-03	 6.0933e-03	
 5.7939e-03	 6.0854e-03	
 5.7855e-03	 6.0773e-03	
 5.7769e-03	 6.0692e-03	
 5.7682e-03	 6.0608e-03	
 5.7594e-03	 6.0524e-03	
 5.7503e-03	 6.0437e-03	
 5.7412e-03	 6.0349e-03	
 5.7318e-03	 6.0258e-03	
 5.7222e-03	 6.0165e-03	
 5.7125e-03	 6.0070e-03	
 5.7024e-03	 5.9972e-03	
 5.6921e-03	 5.9871e-03	
 5.6816e-03	 5.9768e-03	
 5.6707e-03	 5.9661e-03	
 5.6596e-03	 5.9550e-03	
 5.6480e-03	 5.9436e-03	
 5.6361e-03	 5.9318e-03	
 5.6238e-03	 5.9196e-03	
 5.6111e-03	 5.9069e-03	
 5.5980e-03	 5.8938e-03	
 5.5843e-03	 5.8802e-03	
 5.5702e-03	 5.8662e-03	
 5.5556e-03	 5.8515e-03	
 5.5405e-03	 5.8364e-03	
 5.5248e-03	 5.8208e-03	
 5.5086e-03	 5.8046e-03	
 5.4918e-03	 5.7879e-03	
 5.4745e-03	 5.7706e-03	
 5.4567e-03	 5.7529e-03	
 5.4384e-03	 5.7347e-03	
 5.4196e-03	 5.7161e-03	
 5.4004e-03	 5.6971e-03	
 5.3809e-03	 5.6779e-03	
 5.3611e-03	 5.6583e-03	
 5.3411e-03	 5.6386e-03	
 5.3210e-03	 5.6188e-03	
 5.3009e-03	 5.5990e-03	
 5.2811e-03	 5.5794e-03	
 5.2615e-03	 5.5600e-03	
 5.2423e-03	 5.5410e-03	
 5.2237e-03	 5.5225e-03	
 5.2057e-03	 5.5047e-03	
 5.1884e-03	 5.4875e-03	
 5.1720e-03	 5.4711e-03	
 5.1565e-03	 5.4555e-03	
 5.1418e-03	 5.4408e-03	
 5.1280e-03	 5.4271e-03	
 5.1152e-03	 5.4142e-03	
 5.1032e-03	 5.4022e-03	
 5.0920e-03	 5.3911e-03	
 5.0815e-03	 5.3807e-03	
 5.0718e-03	 5.3711e-03	
