Training loss2	Validation loss2	
 4.5042e-03	 4.5232e-03	
 4.1278e-03	 4.5154e-03	
 4.1228e-03	 4.5127e-03	
 4.1210e-03	 4.5116e-03	
 4.1202e-03	 4.5110e-03	
 4.1197e-03	 4.5107e-03	
 4.1194e-03	 4.5105e-03	
 4.1193e-03	 4.5104e-03	
 4.1192e-03	 4.5103e-03	
 4.1191e-03	 4.5103e-03	
 4.1190e-03	 4.5102e-03	
 4.1189e-03	 4.5102e-03	
 4.1189e-03	 4.5102e-03	
 4.1189e-03	 4.5102e-03	
 4.1188e-03	 4.5101e-03	
 4.1188e-03	 4.5101e-03	
 4.1188e-03	 4.5101e-03	
 4.1188e-03	 4.5101e-03	
 4.1188e-03	 4.5101e-03	
 4.1188e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1187e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5101e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1186e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
 4.1185e-03	 4.5100e-03	
