Training loss	Validation loss	
 1.1927e-01	 9.7028e-02	
 1.0777e-01	 9.7102e-02	
 1.0777e-01	 9.7102e-02	
 1.0777e-01	 9.7103e-02	
 1.0777e-01	 9.7103e-02	
 1.0777e-01	 9.7102e-02	
 1.0777e-01	 9.7102e-02	
 1.0777e-01	 9.7102e-02	
 1.0777e-01	 9.7102e-02	
 1.0777e-01	 9.7102e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7102e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
 1.0777e-01	 9.7101e-02	
