Training loss	Validation loss	
 3.2691e-01	 3.8758e-02	
 2.6498e-02	 1.7414e-02	
 1.9292e-02	 1.6160e-02	
 1.7991e-02	 1.5500e-02	
 1.7453e-02	 1.5011e-02	
 1.7039e-02	 1.4612e-02	
 1.6688e-02	 1.4276e-02	
 1.6379e-02	 1.3978e-02	
 1.6109e-02	 1.3713e-02	
 1.5871e-02	 1.3477e-02	
 1.5657e-02	 1.3261e-02	
 1.5462e-02	 1.3064e-02	
 1.5280e-02	 1.2881e-02	
 1.5108e-02	 1.2707e-02	
 1.4944e-02	 1.2544e-02	
 1.4787e-02	 1.2389e-02	
 1.4636e-02	 1.2242e-02	
 1.4490e-02	 1.2102e-02	
 1.4350e-02	 1.1970e-02	
 1.4214e-02	 1.1843e-02	
 1.4083e-02	 1.1721e-02	
 1.3953e-02	 1.1594e-02	
 1.3824e-02	 1.1470e-02	
 1.3694e-02	 1.1355e-02	
 1.3564e-02	 1.1243e-02	
 1.3430e-02	 1.1132e-02	
 1.3290e-02	 1.1017e-02	
 1.3135e-02	 1.0893e-02	
 1.2949e-02	 1.0751e-02	
 1.2710e-02	 1.0578e-02	
 1.2378e-02	 1.0352e-02	
 1.1888e-02	 1.0032e-02	
 1.1153e-02	 9.6090e-03	
 1.0255e-02	 9.1547e-03	
 9.4661e-03	 8.8086e-03	
 8.9429e-03	 8.6071e-03	
 8.6339e-03	 8.4941e-03	
 8.4515e-03	 8.4222e-03	
 8.3368e-03	 8.3671e-03	
 8.2565e-03	 8.3191e-03	
 8.1944e-03	 8.2750e-03	
 8.1424e-03	 8.2330e-03	
 8.0964e-03	 8.1924e-03	
 8.0541e-03	 8.1526e-03	
 8.0144e-03	 8.1137e-03	
 7.9766e-03	 8.0755e-03	
 7.9404e-03	 8.0382e-03	
 7.9054e-03	 8.0018e-03	
 7.8714e-03	 7.9665e-03	
 7.8387e-03	 7.9326e-03	
 7.8076e-03	 7.9002e-03	
 7.7780e-03	 7.8696e-03	
 7.7498e-03	 7.8407e-03	
 7.7228e-03	 7.8133e-03	
 7.6970e-03	 7.7875e-03	
 7.6720e-03	 7.7629e-03	
 7.6478e-03	 7.7394e-03	
 7.6241e-03	 7.7169e-03	
 7.6013e-03	 7.6953e-03	
 7.5793e-03	 7.6746e-03	
 7.5575e-03	 7.6545e-03	
 7.5360e-03	 7.6350e-03	
 7.5150e-03	 7.6161e-03	
 7.4941e-03	 7.5975e-03	
 7.4735e-03	 7.5793e-03	
 7.4534e-03	 7.5614e-03	
 7.4336e-03	 7.5438e-03	
 7.4140e-03	 7.5265e-03	
 7.3942e-03	 7.5093e-03	
 7.3747e-03	 7.4924e-03	
 7.3553e-03	 7.4756e-03	
 7.3361e-03	 7.4591e-03	
 7.3171e-03	 7.4427e-03	
 7.2983e-03	 7.4265e-03	
 7.2796e-03	 7.4103e-03	
 7.2608e-03	 7.3942e-03	
 7.2422e-03	 7.3783e-03	
 7.2238e-03	 7.3625e-03	
 7.2054e-03	 7.3467e-03	
 7.1872e-03	 7.3311e-03	
 7.1691e-03	 7.3156e-03	
 7.1512e-03	 7.3003e-03	
 7.1335e-03	 7.2851e-03	
 7.1158e-03	 7.2700e-03	
 7.0984e-03	 7.2551e-03	
 7.0811e-03	 7.2403e-03	
 7.0639e-03	 7.2256e-03	
 7.0469e-03	 7.2110e-03	
 7.0301e-03	 7.1965e-03	
 7.0134e-03	 7.1821e-03	
 6.9968e-03	 7.1679e-03	
 6.9804e-03	 7.1537e-03	
 6.9641e-03	 7.1395e-03	
 6.9480e-03	 7.1255e-03	
 6.9320e-03	 7.1116e-03	
 6.9162e-03	 7.0978e-03	
 6.9004e-03	 7.0841e-03	
