Training loss	Validation loss	
 8.0664e-02	 5.9190e-02	
 5.1328e-02	 8.0453e-02	
 5.2088e-02	 9.8544e-02	
 6.4330e-02	 7.0609e-02	
 5.1096e-02	 6.4716e-02	
 5.0903e-02	 8.4407e-02	
 4.7653e-02	 6.4930e-02	
 4.5008e-02	 6.4244e-02	
 6.6633e-02	 7.9812e-02	
 6.0268e-02	 7.7361e-02	
 6.0208e-02	 7.7212e-02	
 6.0175e-02	 7.7031e-02	
 6.0119e-02	 7.6969e-02	
 5.9890e-02	 7.6010e-02	
 4.9773e-02	 6.4212e-02	
 3.4163e-02	 6.1004e-02	
 5.3286e-02	 6.7381e-02	
 5.9608e-02	 8.0781e-02	
 6.0283e-02	 7.7463e-02	
 6.0207e-02	 7.7262e-02	
 6.0199e-02	 7.7246e-02	
 6.0197e-02	 7.6806e-02	
 6.0171e-02	 7.6760e-02	
 6.0150e-02	 7.6741e-02	
 6.0179e-02	 7.6741e-02	
 6.0137e-02	 7.7052e-02	
 6.0163e-02	 7.7032e-02	
 6.0162e-02	 7.6985e-02	
 6.0143e-02	 7.6592e-02	
 6.0123e-02	 7.6532e-02	
 6.0129e-02	 7.6868e-02	
 6.0132e-02	 7.6456e-02	
 6.0118e-02	 7.6563e-02	
 6.0176e-02	 7.6338e-02	
 6.0148e-02	 7.6395e-02	
 6.0145e-02	 7.6309e-02	
 6.0195e-02	 7.6238e-02	
 6.0165e-02	 7.6405e-02	
 6.0103e-02	 7.6026e-02	
 6.0093e-02	 7.7245e-02	
 6.0174e-02	 7.7323e-02	
 6.0196e-02	 7.5906e-02	
 6.0135e-02	 7.7309e-02	
 6.0174e-02	 7.5799e-02	
 6.0075e-02	 7.5689e-02	
 6.0133e-02	 7.5710e-02	
 6.0055e-02	 7.5556e-02	
 6.0139e-02	 7.5716e-02	
 6.0100e-02	 7.7302e-02	
 6.0155e-02	 7.7240e-02	
 6.0218e-02	 7.7427e-02	
 6.0176e-02	 7.7244e-02	
 6.0167e-02	 7.7173e-02	
 6.0107e-02	 7.7143e-02	
 6.0114e-02	 7.5431e-02	
 6.0115e-02	 7.5507e-02	
 6.0134e-02	 7.5410e-02	
 6.0087e-02	 7.7222e-02	
 6.0165e-02	 7.7355e-02	
 6.0167e-02	 7.7256e-02	
 6.0238e-02	 7.7026e-02	
 6.0131e-02	 7.6102e-02	
 6.0123e-02	 7.6811e-02	
 6.0050e-02	 7.6818e-02	
 6.0089e-02	 7.7222e-02	
 6.0118e-02	 7.7211e-02	
 6.0144e-02	 7.7328e-02	
 6.0224e-02	 7.7287e-02	
 6.0124e-02	 7.7370e-02	
 6.0281e-02	 7.7289e-02	
 6.0127e-02	 7.7371e-02	
 6.0323e-02	 7.7276e-02	
 6.0112e-02	 7.7369e-02	
 6.0262e-02	 7.7286e-02	
 6.0115e-02	 7.7374e-02	
 6.0255e-02	 7.7289e-02	
 6.0121e-02	 7.7377e-02	
 6.0263e-02	 7.7295e-02	
 6.0111e-02	 7.7378e-02	
 6.0291e-02	 7.7289e-02	
 6.0245e-02	 7.7256e-02	
 6.0092e-02	 7.7375e-02	
 6.0323e-02	 7.7311e-02	
 6.0101e-02	 7.6126e-02	
 6.0152e-02	 7.5627e-02	
 5.9836e-02	 7.5971e-02	
 6.0121e-02	 7.4741e-02	
 6.0017e-02	 7.6583e-02	
 6.0083e-02	 7.7370e-02	
 6.0185e-02	 7.6887e-02	
 6.0073e-02	 7.7290e-02	
 6.0110e-02	 7.5699e-02	
 6.0050e-02	 7.4826e-02	
 6.0088e-02	 7.6591e-02	
 6.0069e-02	 7.4471e-02	
 6.0000e-02	 7.7309e-02	
 6.0201e-02	 7.6743e-02	
 6.0095e-02	 7.7231e-02	
 6.0088e-02	 7.7396e-02	
 6.0399e-02	 7.5982e-02	
 6.0119e-02	 7.5506e-02	
 5.9845e-02	 7.5815e-02	
 6.0121e-02	 7.7185e-02	
 6.0091e-02	 7.7401e-02	
 6.0321e-02	 7.7301e-02	
 6.0063e-02	 7.7409e-02	
 6.0372e-02	 7.7306e-02	
 6.0052e-02	 7.7412e-02	
 6.0373e-02	 7.7301e-02	
 6.0037e-02	 7.7412e-02	
 6.0407e-02	 7.6731e-02	
 6.0178e-02	 7.6734e-02	
 6.0107e-02	 7.5872e-02	
 6.0075e-02	 7.5826e-02	
 6.0116e-02	 7.5534e-02	
 5.9793e-02	 7.5312e-02	
 5.9951e-02	 7.7347e-02	
 6.0056e-02	 7.5914e-02	
 5.9994e-02	 7.5854e-02	
 6.0156e-02	 7.7202e-02	
 6.0075e-02	 7.7415e-02	
 6.0329e-02	 7.7306e-02	
 6.0036e-02	 7.7428e-02	
 6.0154e-02	 7.5697e-02	
