Training loss	Validation loss	
 6.8335e-02	 3.2664e-02	
 1.7796e-02	 2.6294e-02	
 1.5960e-02	 2.5175e-02	
 1.5624e-02	 2.4682e-02	
 1.5354e-02	 2.4287e-02	
 1.5113e-02	 2.3927e-02	
 1.4887e-02	 2.3584e-02	
 1.4663e-02	 2.3237e-02	
 1.4410e-02	 2.2878e-02	
 1.4173e-02	 2.2526e-02	
 1.3951e-02	 2.2189e-02	
 1.3740e-02	 2.1872e-02	
 1.3543e-02	 2.1575e-02	
 1.3361e-02	 2.1303e-02	
 1.3197e-02	 2.1058e-02	
 1.3053e-02	 2.0839e-02	
 1.2928e-02	 2.0646e-02	
 1.2820e-02	 2.0476e-02	
 1.2728e-02	 2.0326e-02	
 1.2646e-02	 2.0192e-02	
 1.2574e-02	 2.0069e-02	
 1.2506e-02	 1.9954e-02	
 1.2441e-02	 1.9844e-02	
 1.2375e-02	 1.9733e-02	
 1.2305e-02	 1.9617e-02	
 1.2227e-02	 1.9486e-02	
 1.2134e-02	 1.9330e-02	
 1.2016e-02	 1.9124e-02	
 1.1855e-02	 1.8827e-02	
 1.1618e-02	 1.8356e-02	
 1.1244e-02	 1.7569e-02	
 1.0651e-02	 1.6309e-02	
 9.8265e-03	 1.4687e-02	
 8.9739e-03	 1.3321e-02	
 8.3848e-03	 1.2659e-02	
 8.0929e-03	 1.2408e-02	
 7.9596e-03	 1.2280e-02	
 7.8845e-03	 1.2192e-02	
 7.8301e-03	 1.2123e-02	
 7.7848e-03	 1.2063e-02	
 7.7445e-03	 1.2008e-02	
 7.7074e-03	 1.1957e-02	
 7.6726e-03	 1.1909e-02	
 7.6395e-03	 1.1863e-02	
 7.6078e-03	 1.1818e-02	
 7.5774e-03	 1.1775e-02	
 7.5479e-03	 1.1733e-02	
 7.5193e-03	 1.1692e-02	
 7.4915e-03	 1.1651e-02	
 7.4645e-03	 1.1612e-02	
 7.4380e-03	 1.1573e-02	
 7.4121e-03	 1.1535e-02	
 7.3867e-03	 1.1498e-02	
 7.3619e-03	 1.1461e-02	
 7.3374e-03	 1.1425e-02	
 7.3134e-03	 1.1389e-02	
 7.2898e-03	 1.1354e-02	
 7.2665e-03	 1.1319e-02	
 7.2437e-03	 1.1285e-02	
 7.2212e-03	 1.1252e-02	
 7.1990e-03	 1.1219e-02	
 7.1772e-03	 1.1186e-02	
 7.1557e-03	 1.1154e-02	
 7.1345e-03	 1.1123e-02	
 7.1137e-03	 1.1092e-02	
 7.0931e-03	 1.1061e-02	
 7.0728e-03	 1.1031e-02	
 7.0528e-03	 1.1001e-02	
 7.0332e-03	 1.0972e-02	
 7.0137e-03	 1.0943e-02	
 6.9946e-03	 1.0914e-02	
 6.9757e-03	 1.0886e-02	
 6.9572e-03	 1.0859e-02	
 6.9388e-03	 1.0831e-02	
 6.9208e-03	 1.0805e-02	
 6.9030e-03	 1.0778e-02	
 6.8854e-03	 1.0752e-02	
 6.8681e-03	 1.0726e-02	
 6.8511e-03	 1.0701e-02	
 6.8343e-03	 1.0676e-02	
 6.8178e-03	 1.0651e-02	
 6.8014e-03	 1.0627e-02	
 6.7854e-03	 1.0603e-02	
 6.7695e-03	 1.0580e-02	
 6.7539e-03	 1.0557e-02	
 6.7385e-03	 1.0534e-02	
 6.7233e-03	 1.0512e-02	
 6.7083e-03	 1.0489e-02	
 6.6935e-03	 1.0468e-02	
 6.6789e-03	 1.0446e-02	
 6.6646e-03	 1.0425e-02	
 6.6504e-03	 1.0404e-02	
 6.6364e-03	 1.0383e-02	
 6.6226e-03	 1.0363e-02	
 6.6090e-03	 1.0343e-02	
 6.5956e-03	 1.0323e-02	
 6.5823e-03	 1.0304e-02	
 6.5692e-03	 1.0285e-02	
 6.5562e-03	 1.0265e-02	
 6.5435e-03	 1.0247e-02	
 6.5309e-03	 1.0228e-02	
 6.5184e-03	 1.0210e-02	
 6.5060e-03	 1.0191e-02	
 6.4938e-03	 1.0173e-02	
 6.4818e-03	 1.0156e-02	
 6.4699e-03	 1.0138e-02	
 6.4581e-03	 1.0121e-02	
 6.4464e-03	 1.0103e-02	
 6.4349e-03	 1.0086e-02	
 6.4235e-03	 1.0069e-02	
 6.4122e-03	 1.0053e-02	
 6.4010e-03	 1.0036e-02	
 6.3900e-03	 1.0020e-02	
 6.3790e-03	 1.0003e-02	
 6.3681e-03	 9.9870e-03	
 6.3574e-03	 9.9708e-03	
 6.3467e-03	 9.9546e-03	
 6.3362e-03	 9.9385e-03	
 6.3257e-03	 9.9226e-03	
 6.3154e-03	 9.9067e-03	
 6.3051e-03	 9.8908e-03	
 6.2949e-03	 9.8749e-03	
 6.2847e-03	 9.8591e-03	
 6.2746e-03	 9.8433e-03	
 6.2647e-03	 9.8276e-03	
 6.2549e-03	 9.8120e-03	
 6.2451e-03	 9.7967e-03	
 6.2354e-03	 9.7816e-03	
 6.2258e-03	 9.7667e-03	
 6.2162e-03	 9.7519e-03	
 6.2068e-03	 9.7370e-03	
 6.1975e-03	 9.7224e-03	
 6.1882e-03	 9.7080e-03	
 6.1790e-03	 9.6936e-03	
 6.1700e-03	 9.6796e-03	
 6.1609e-03	 9.6657e-03	
 6.1519e-03	 9.6519e-03	
 6.1429e-03	 9.6384e-03	
 6.1340e-03	 9.6249e-03	
 6.1252e-03	 9.6116e-03	
 6.1166e-03	 9.5982e-03	
 6.1080e-03	 9.5852e-03	
 6.0995e-03	 9.5721e-03	
 6.0910e-03	 9.5590e-03	
 6.0826e-03	 9.5456e-03	
 6.0742e-03	 9.5325e-03	
 6.0659e-03	 9.5195e-03	
 6.0576e-03	 9.5067e-03	
 6.0494e-03	 9.4942e-03	
 6.0413e-03	 9.4814e-03	
 6.0332e-03	 9.4689e-03	
 6.0252e-03	 9.4564e-03	
 6.0173e-03	 9.4439e-03	
 6.0094e-03	 9.4315e-03	
 6.0016e-03	 9.4191e-03	
 5.9939e-03	 9.4068e-03	
 5.9863e-03	 9.3946e-03	
 5.9786e-03	 9.3827e-03	
 5.9710e-03	 9.3708e-03	
 5.9636e-03	 9.3590e-03	
 5.9561e-03	 9.3473e-03	
 5.9487e-03	 9.3355e-03	
 5.9414e-03	 9.3239e-03	
 5.9341e-03	 9.3125e-03	
 5.9269e-03	 9.3011e-03	
 5.9198e-03	 9.2899e-03	
 5.9127e-03	 9.2787e-03	
 5.9057e-03	 9.2676e-03	
 5.8988e-03	 9.2566e-03	
 5.8919e-03	 9.2457e-03	
 5.8851e-03	 9.2349e-03	
 5.8783e-03	 9.2241e-03	
 5.8717e-03	 9.2134e-03	
 5.8651e-03	 9.2027e-03	
 5.8585e-03	 9.1922e-03	
 5.8520e-03	 9.1817e-03	
 5.8456e-03	 9.1713e-03	
 5.8392e-03	 9.1610e-03	
 5.8330e-03	 9.1508e-03	
 5.8268e-03	 9.1405e-03	
 5.8206e-03	 9.1304e-03	
 5.8146e-03	 9.1203e-03	
 5.8085e-03	 9.1104e-03	
 5.8026e-03	 9.1004e-03	
 5.7966e-03	 9.0906e-03	
 5.7908e-03	 9.0807e-03	
 5.7850e-03	 9.0710e-03	
 5.7792e-03	 9.0613e-03	
 5.7735e-03	 9.0517e-03	
 5.7679e-03	 9.0421e-03	
 5.7624e-03	 9.0326e-03	
 5.7569e-03	 9.0230e-03	
 5.7514e-03	 9.0137e-03	
 5.7460e-03	 9.0043e-03	
 5.7407e-03	 8.9950e-03	
 5.7355e-03	 8.9857e-03	
 5.7302e-03	 8.9766e-03	
 5.7251e-03	 8.9674e-03	
 5.7199e-03	 8.9583e-03	
 5.7149e-03	 8.9493e-03	
 5.7099e-03	 8.9404e-03	
 5.7049e-03	 8.9315e-03	
 5.6999e-03	 8.9227e-03	
 5.6951e-03	 8.9140e-03	
 5.6902e-03	 8.9052e-03	
 5.6855e-03	 8.8965e-03	
 5.6807e-03	 8.8878e-03	
 5.6760e-03	 8.8791e-03	
 5.6714e-03	 8.8705e-03	
 5.6668e-03	 8.8619e-03	
 5.6622e-03	 8.8535e-03	
 5.6577e-03	 8.8450e-03	
 5.6533e-03	 8.8366e-03	
 5.6488e-03	 8.8282e-03	
 5.6445e-03	 8.8199e-03	
 5.6401e-03	 8.8115e-03	
 5.6358e-03	 8.8033e-03	
 5.6314e-03	 8.7951e-03	
 5.6272e-03	 8.7868e-03	
 5.6230e-03	 8.7786e-03	
 5.6188e-03	 8.7704e-03	
 5.6147e-03	 8.7623e-03	
 5.6106e-03	 8.7543e-03	
 5.6065e-03	 8.7462e-03	
 5.6024e-03	 8.7382e-03	
 5.5984e-03	 8.7303e-03	
 5.5945e-03	 8.7223e-03	
 5.5905e-03	 8.7143e-03	
 5.5866e-03	 8.7064e-03	
 5.5827e-03	 8.6986e-03	
 5.5788e-03	 8.6908e-03	
 5.5749e-03	 8.6830e-03	
 5.5711e-03	 8.6753e-03	
 5.5673e-03	 8.6675e-03	
 5.5636e-03	 8.6598e-03	
 5.5599e-03	 8.6522e-03	
 5.5561e-03	 8.6445e-03	
 5.5524e-03	 8.6369e-03	
 5.5488e-03	 8.6293e-03	
 5.5451e-03	 8.6217e-03	
 5.5415e-03	 8.6141e-03	
 5.5380e-03	 8.6066e-03	
 5.5344e-03	 8.5992e-03	
 5.5309e-03	 8.5917e-03	
 5.5274e-03	 8.5842e-03	
 5.5239e-03	 8.5768e-03	
 5.5204e-03	 8.5694e-03	
