Training loss	Validation loss	
 8.0931e-02	 2.8490e-02	
 1.7844e-02	 2.6647e-02	
 1.6613e-02	 2.5972e-02	
 1.6261e-02	 2.5524e-02	
 1.6033e-02	 2.5188e-02	
 1.5836e-02	 2.4888e-02	
 1.5642e-02	 2.4590e-02	
 1.5442e-02	 2.4288e-02	
 1.5237e-02	 2.3984e-02	
 1.5028e-02	 2.3673e-02	
 1.4809e-02	 2.3345e-02	
 1.4573e-02	 2.2994e-02	
 1.4314e-02	 2.2613e-02	
 1.4024e-02	 2.2189e-02	
 1.3692e-02	 2.1693e-02	
 1.3290e-02	 2.1070e-02	
 1.2774e-02	 2.0222e-02	
 1.2075e-02	 1.9018e-02	
 1.1165e-02	 1.7432e-02	
 1.0217e-02	 1.5948e-02	
 9.5554e-03	 1.5160e-02	
 9.2320e-03	 1.4824e-02	
 9.0810e-03	 1.4629e-02	
 8.9969e-03	 1.4480e-02	
 8.9353e-03	 1.4354e-02	
 8.8769e-03	 1.4244e-02	
 8.8179e-03	 1.4144e-02	
 8.7588e-03	 1.4051e-02	
 8.7023e-03	 1.3964e-02	
 8.6483e-03	 1.3879e-02	
 8.5973e-03	 1.3799e-02	
 8.5494e-03	 1.3720e-02	
 8.5041e-03	 1.3646e-02	
 8.4603e-03	 1.3577e-02	
 8.4179e-03	 1.3511e-02	
 8.3773e-03	 1.3445e-02	
 8.3376e-03	 1.3381e-02	
 8.2992e-03	 1.3317e-02	
 8.2614e-03	 1.3253e-02	
 8.2247e-03	 1.3191e-02	
 8.1888e-03	 1.3129e-02	
 8.1538e-03	 1.3068e-02	
 8.1197e-03	 1.3009e-02	
 8.0861e-03	 1.2950e-02	
 8.0531e-03	 1.2892e-02	
 8.0209e-03	 1.2835e-02	
 7.9890e-03	 1.2778e-02	
 7.9580e-03	 1.2722e-02	
 7.9272e-03	 1.2667e-02	
 7.8971e-03	 1.2613e-02	
 7.8674e-03	 1.2559e-02	
 7.8383e-03	 1.2506e-02	
 7.8095e-03	 1.2454e-02	
 7.7810e-03	 1.2402e-02	
 7.7528e-03	 1.2351e-02	
 7.7251e-03	 1.2301e-02	
 7.6978e-03	 1.2252e-02	
 7.6707e-03	 1.2204e-02	
 7.6442e-03	 1.2156e-02	
 7.6180e-03	 1.2109e-02	
 7.5922e-03	 1.2063e-02	
 7.5669e-03	 1.2018e-02	
 7.5417e-03	 1.1973e-02	
 7.5169e-03	 1.1929e-02	
 7.4926e-03	 1.1886e-02	
 7.4686e-03	 1.1844e-02	
 7.4449e-03	 1.1803e-02	
 7.4215e-03	 1.1762e-02	
 7.3987e-03	 1.1723e-02	
 7.3764e-03	 1.1684e-02	
 7.3542e-03	 1.1647e-02	
 7.3326e-03	 1.1610e-02	
 7.3114e-03	 1.1575e-02	
 7.2907e-03	 1.1541e-02	
 7.2700e-03	 1.1507e-02	
 7.2499e-03	 1.1475e-02	
 7.2300e-03	 1.1443e-02	
 7.2106e-03	 1.1412e-02	
 7.1915e-03	 1.1383e-02	
 7.1726e-03	 1.1353e-02	
 7.1539e-03	 1.1324e-02	
 7.1355e-03	 1.1296e-02	
 7.1175e-03	 1.1268e-02	
 7.0996e-03	 1.1241e-02	
 7.0820e-03	 1.1214e-02	
 7.0645e-03	 1.1187e-02	
 7.0472e-03	 1.1161e-02	
 7.0302e-03	 1.1135e-02	
 7.0133e-03	 1.1109e-02	
 6.9968e-03	 1.1084e-02	
 6.9802e-03	 1.1059e-02	
 6.9643e-03	 1.1034e-02	
 6.9486e-03	 1.1010e-02	
 6.9332e-03	 1.0986e-02	
 6.9179e-03	 1.0963e-02	
 6.9028e-03	 1.0940e-02	
 6.8880e-03	 1.0917e-02	
 6.8732e-03	 1.0895e-02	
 6.8588e-03	 1.0873e-02	
 6.8449e-03	 1.0852e-02	
 6.8307e-03	 1.0831e-02	
 6.8169e-03	 1.0811e-02	
 6.8034e-03	 1.0790e-02	
 6.7897e-03	 1.0771e-02	
 6.7767e-03	 1.0752e-02	
 6.7639e-03	 1.0734e-02	
 6.7509e-03	 1.0714e-02	
 6.7378e-03	 1.0695e-02	
 6.7253e-03	 1.0677e-02	
 6.7129e-03	 1.0660e-02	
 6.7010e-03	 1.0642e-02	
 6.6884e-03	 1.0623e-02	
 6.6761e-03	 1.0607e-02	
 6.6643e-03	 1.0592e-02	
 6.6524e-03	 1.0575e-02	
 6.6405e-03	 1.0558e-02	
 6.6289e-03	 1.0544e-02	
 6.6175e-03	 1.0528e-02	
 6.6060e-03	 1.0513e-02	
 6.5945e-03	 1.0497e-02	
 6.5829e-03	 1.0481e-02	
 6.5715e-03	 1.0466e-02	
 6.5606e-03	 1.0452e-02	
 6.5496e-03	 1.0437e-02	
 6.5384e-03	 1.0421e-02	
 6.5273e-03	 1.0406e-02	
 6.5164e-03	 1.0391e-02	
 6.5054e-03	 1.0376e-02	
 6.4946e-03	 1.0361e-02	
 6.4839e-03	 1.0347e-02	
 6.4732e-03	 1.0333e-02	
 6.4626e-03	 1.0319e-02	
 6.4521e-03	 1.0305e-02	
 6.4417e-03	 1.0291e-02	
 6.4312e-03	 1.0276e-02	
 6.4207e-03	 1.0261e-02	
 6.4103e-03	 1.0247e-02	
 6.4001e-03	 1.0233e-02	
 6.3898e-03	 1.0219e-02	
 6.3797e-03	 1.0205e-02	
 6.3695e-03	 1.0192e-02	
 6.3597e-03	 1.0178e-02	
 6.3498e-03	 1.0165e-02	
 6.3400e-03	 1.0151e-02	
 6.3303e-03	 1.0137e-02	
 6.3206e-03	 1.0124e-02	
 6.3110e-03	 1.0110e-02	
 6.3015e-03	 1.0096e-02	
 6.2920e-03	 1.0083e-02	
 6.2827e-03	 1.0069e-02	
 6.2734e-03	 1.0056e-02	
 6.2642e-03	 1.0043e-02	
 6.2551e-03	 1.0029e-02	
 6.2461e-03	 1.0016e-02	
 6.2372e-03	 1.0003e-02	
 6.2285e-03	 9.9901e-03	
 6.2198e-03	 9.9771e-03	
 6.2111e-03	 9.9637e-03	
 6.2025e-03	 9.9506e-03	
 6.1941e-03	 9.9372e-03	
 6.1857e-03	 9.9247e-03	
 6.1775e-03	 9.9117e-03	
 6.1693e-03	 9.8988e-03	
 6.1613e-03	 9.8863e-03	
 6.1534e-03	 9.8740e-03	
 6.1456e-03	 9.8607e-03	
 6.1378e-03	 9.8477e-03	
 6.1302e-03	 9.8356e-03	
 6.1228e-03	 9.8235e-03	
 6.1153e-03	 9.8113e-03	
 6.1080e-03	 9.7989e-03	
 6.1007e-03	 9.7869e-03	
 6.0936e-03	 9.7750e-03	
 6.0865e-03	 9.7637e-03	
 6.0796e-03	 9.7515e-03	
 6.0727e-03	 9.7398e-03	
 6.0658e-03	 9.7283e-03	
 6.0590e-03	 9.7161e-03	
 6.0523e-03	 9.7050e-03	
 6.0458e-03	 9.6934e-03	
 6.0393e-03	 9.6821e-03	
 6.0328e-03	 9.6705e-03	
 6.0264e-03	 9.6591e-03	
 6.0201e-03	 9.6479e-03	
 6.0138e-03	 9.6363e-03	
 6.0076e-03	 9.6251e-03	
 6.0015e-03	 9.6144e-03	
 5.9954e-03	 9.6037e-03	
 5.9895e-03	 9.5924e-03	
 5.9834e-03	 9.5813e-03	
 5.9775e-03	 9.5705e-03	
 5.9717e-03	 9.5598e-03	
 5.9659e-03	 9.5492e-03	
 5.9601e-03	 9.5387e-03	
 5.9544e-03	 9.5281e-03	
 5.9488e-03	 9.5177e-03	
 5.9432e-03	 9.5071e-03	
 5.9376e-03	 9.4965e-03	
 5.9321e-03	 9.4861e-03	
 5.9266e-03	 9.4762e-03	
 5.9212e-03	 9.4659e-03	
 5.9158e-03	 9.4558e-03	
 5.9105e-03	 9.4458e-03	
 5.9052e-03	 9.4358e-03	
 5.8999e-03	 9.4257e-03	
 5.8946e-03	 9.4160e-03	
 5.8894e-03	 9.4061e-03	
 5.8843e-03	 9.3960e-03	
 5.8791e-03	 9.3863e-03	
 5.8740e-03	 9.3766e-03	
 5.8690e-03	 9.3669e-03	
 5.8640e-03	 9.3574e-03	
 5.8590e-03	 9.3480e-03	
 5.8540e-03	 9.3383e-03	
 5.8491e-03	 9.3287e-03	
 5.8442e-03	 9.3191e-03	
 5.8393e-03	 9.3098e-03	
 5.8345e-03	 9.3004e-03	
 5.8297e-03	 9.2911e-03	
 5.8249e-03	 9.2819e-03	
 5.8202e-03	 9.2728e-03	
 5.8155e-03	 9.2636e-03	
 5.8108e-03	 9.2545e-03	
 5.8061e-03	 9.2456e-03	
 5.8015e-03	 9.2364e-03	
 5.7968e-03	 9.2274e-03	
 5.7923e-03	 9.2184e-03	
